	Full_Pathway	Sample_ID	Abundance	Pathway_ID	Pathway_Name	TaxID
10	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Nitzschia.s__Nitzschia_putrida__2742595	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Nitzschia.s__Nitzschia_putrida__2742595
11	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Odontella.s__Odontella_aurita__265563	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Odontella.s__Odontella_aurita__265563
12	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Pseudictyota.s__Pseudictyota_dubia__2749911
13	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Salpingoeca.s__Salpingoeca_rosetta__946362	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Salpingoeca.s__Salpingoeca_rosetta__946362
14	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Skeletonema.s__Skeletonema_menzelii__216823	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Skeletonema.s__Skeletonema_menzelii__216823
15	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Thalassiosira.s__Thalassiosira_punctigera__265564	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Thalassiosira.s__Thalassiosira_punctigera__265564
16	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Thalassiosira.s__Thalassiosira_sp.__1891026	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Thalassiosira.s__Thalassiosira_sp.__1891026
17	ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Trieres.s__Trieres_chinensis__1514140	ERR3980584	0.0	ARGININE-SYN4-PWY	L-ornithine biosynthesis II	g__Trieres.s__Trieres_chinensis__1514140
18	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Detonula.s__Detonula_confervacea__83371	ERR3980584	0.0	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	g__Detonula.s__Detonula_confervacea__83371
19	ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Extubocellulus.s__Extubocellulus_spinifer__265572	ERR3980584	0.0	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	g__Extubocellulus.s__Extubocellulus_spinifer__265572
20	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Chaetoceros.s__Chaetoceros_debilis__122233	ERR3980584	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Chaetoceros.s__Chaetoceros_debilis__122233
21	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Cylindrotheca.s__Cylindrotheca_closterium__2856	ERR3980584	0.9113319999999999	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Cylindrotheca.s__Cylindrotheca_closterium__2856
22	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Ditylum.s__Ditylum_brightwellii__49249	ERR3980584	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Ditylum.s__Ditylum_brightwellii__49249
23	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.0	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Eucampia.s__Eucampia_antarctica__49252
24	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Odontella.s__Odontella_aurita__265563	ERR3980584	3.13226	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Odontella.s__Odontella_aurita__265563
25	CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	1.68888	CALVIN-PWY	Calvin-Benson-Bassham cycle	g__Pseudictyota.s__Pseudictyota_dubia__2749911
26	FAO-PWY: fatty acid &beta;-oxidation I (generic)|g__Detonula.s__Detonula_confervacea__83371	ERR3980584	0.0	FAO-PWY	fatty acid &beta;-oxidation I (generic)	g__Detonula.s__Detonula_confervacea__83371
27	GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532	ERR3980584	0.0	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532
28	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Attheya.s__Attheya_septentrionalis__420275	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Attheya.s__Attheya_septentrionalis__420275
29	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Detonula.s__Detonula_confervacea__83371	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Detonula.s__Detonula_confervacea__83371
30	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Eucampia.s__Eucampia_antarctica__49252
31	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Grammatophora.s__Grammatophora_oceanica__210454	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Grammatophora.s__Grammatophora_oceanica__210454
32	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Pseudictyota.s__Pseudictyota_dubia__2749911
33	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Skeletonema.s__Skeletonema_japonicum__267983	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Skeletonema.s__Skeletonema_japonicum__267983
34	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Thalassiosira.s__Thalassiosira_punctigera__265564	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Thalassiosira.s__Thalassiosira_punctigera__265564
35	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Thalassiosira.s__Thalassiosira_sp.__1891026	ERR3980584	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Thalassiosira.s__Thalassiosira_sp.__1891026
36	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Amphiprora.s__Amphiprora_paludosa__265537	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Amphiprora.s__Amphiprora_paludosa__265537
37	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Asterionellopsis.s__Asterionellopsis_glacialis__33640	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Asterionellopsis.s__Asterionellopsis_glacialis__33640
38	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Attheya.s__Attheya_septentrionalis__420275	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Attheya.s__Attheya_septentrionalis__420275
39	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532	ERR3980584	3.67889	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532
40	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Chaetoceros.s__Chaetoceros_debilis__122233	ERR3980584	54.2141	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Chaetoceros.s__Chaetoceros_debilis__122233
41	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Corethron.s__Corethron_hystrix__216773	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Corethron.s__Corethron_hystrix__216773
42	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Detonula.s__Detonula_confervacea__83371	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Detonula.s__Detonula_confervacea__83371
43	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Durinskia.s__Durinskia_baltica__400756	ERR3980584	1.85549	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Durinskia.s__Durinskia_baltica__400756
44	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Eucampia.s__Eucampia_antarctica__49252
45	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Extubocellulus.s__Extubocellulus_spinifer__265572	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Extubocellulus.s__Extubocellulus_spinifer__265572
46	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Grammatophora.s__Grammatophora_oceanica__210454	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Grammatophora.s__Grammatophora_oceanica__210454
47	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Odontella.s__Odontella_aurita__265563	ERR3980584	0.261318	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Odontella.s__Odontella_aurita__265563
48	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Pseudictyota.s__Pseudictyota_dubia__2749911
49	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Skeletonema.s__Skeletonema_japonicum__267983	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Skeletonema.s__Skeletonema_japonicum__267983
50	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Thalassiosira.s__Thalassiosira_punctigera__265564	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Thalassiosira.s__Thalassiosira_punctigera__265564
51	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Thalassiosira.s__Thalassiosira_rotula__49265	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Thalassiosira.s__Thalassiosira_rotula__49265
52	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Thalassiosira.s__Thalassiosira_sp.__1891026	ERR3980584	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Thalassiosira.s__Thalassiosira_sp.__1891026
53	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Trieres.s__Trieres_chinensis__1514140	ERR3980584	0.28803	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Trieres.s__Trieres_chinensis__1514140
54	HSERMETANA-PWY: L-methionine biosynthesis III|g__Alexandrium.s__Alexandrium_catenella__2925	ERR3980584	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Alexandrium.s__Alexandrium_catenella__2925
55	HSERMETANA-PWY: L-methionine biosynthesis III|g__Gambierdiscus.s__Gambierdiscus_australes__439317	ERR3980584	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Gambierdiscus.s__Gambierdiscus_australes__439317
56	HSERMETANA-PWY: L-methionine biosynthesis III|g__Heterocapsa.s__Heterocapsa_arctica__192219	ERR3980584	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Heterocapsa.s__Heterocapsa_arctica__192219
57	HSERMETANA-PWY: L-methionine biosynthesis III|g__Noctiluca.s__Noctiluca_scintillans__2966	ERR3980584	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Noctiluca.s__Noctiluca_scintillans__2966
58	LIPASYN-PWY: phospholipases|g__unclassified.s__unclassified__72037	ERR3980584	0.0	LIPASYN-PWY	phospholipases	g__unclassified.s__unclassified__72037
59	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Aplanochytrium.s__Aplanochytrium_stocchinoi__215587	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Aplanochytrium.s__Aplanochytrium_stocchinoi__215587
60	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Attheya.s__Attheya_septentrionalis__420275	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Attheya.s__Attheya_septentrionalis__420275
61	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Chaetoceros.s__Chaetoceros_debilis__122233	ERR3980584	11.0168	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Chaetoceros.s__Chaetoceros_debilis__122233
62	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Corethron.s__Corethron_hystrix__216773	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Corethron.s__Corethron_hystrix__216773
63	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Coscinodiscus.s__Coscinodiscus_wailesii__671091	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Coscinodiscus.s__Coscinodiscus_wailesii__671091
64	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495
65	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Eucampia.s__Eucampia_antarctica__49252
66	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Licmophora.s__Licmophora_paradoxa__515479	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Licmophora.s__Licmophora_paradoxa__515479
67	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Odontella.s__Odontella_aurita__265563	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Odontella.s__Odontella_aurita__265563
68	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Proboscia.s__Proboscia_inermis__420281	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Proboscia.s__Proboscia_inermis__420281
69	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Pseudictyota.s__Pseudictyota_dubia__2749911
70	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Stephanopyxis.s__Stephanopyxis_turris__515487	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Stephanopyxis.s__Stephanopyxis_turris__515487
71	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Thalassiosira.s__Thalassiosira_punctigera__265564	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Thalassiosira.s__Thalassiosira_punctigera__265564
72	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Thalassiosira.s__Thalassiosira_sp.__1891026	ERR3980584	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Thalassiosira.s__Thalassiosira_sp.__1891026
73	PWY-101: photosynthesis light reactions|g__Corethron.s__Corethron_hystrix__216773	ERR3980584	2.6984	PWY-101	photosynthesis light reactions	g__Corethron.s__Corethron_hystrix__216773
74	PWY-101: photosynthesis light reactions|g__Cylindrotheca.s__Cylindrotheca_closterium__2856	ERR3980584	0.338276	PWY-101	photosynthesis light reactions	g__Cylindrotheca.s__Cylindrotheca_closterium__2856
75	PWY-101: photosynthesis light reactions|g__Thalassiothrix.s__Thalassiothrix_antarctica__1049557	ERR3980584	0.0	PWY-101	photosynthesis light reactions	g__Thalassiothrix.s__Thalassiothrix_antarctica__1049557
76	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_andersonii__327968	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_andersonii__327968
77	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_catenella__2925	ERR3980584	1.19223	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_catenella__2925
78	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_margalefii__109239	ERR3980584	6.35275	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_margalefii__109239
79	PWY-1042: glycolysis IV|g__Amphidinium.s__Amphidinium_carterae__2961	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Amphidinium.s__Amphidinium_carterae__2961
80	PWY-1042: glycolysis IV|g__Apocalathium.s__Apocalathium_aciculiferum__268820	ERR3980584	1.8113400000000002	PWY-1042	glycolysis IV	g__Apocalathium.s__Apocalathium_aciculiferum__268820
81	PWY-1042: glycolysis IV|g__Asterionella.s__Asterionella_formosa__210441	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Asterionella.s__Asterionella_formosa__210441
82	PWY-1042: glycolysis IV|g__Asterionellopsis.s__Asterionellopsis_glacialis__33640	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Asterionellopsis.s__Asterionellopsis_glacialis__33640
83	PWY-1042: glycolysis IV|g__Aulacoseira.s__Aulacoseira_subarctica__202472	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Aulacoseira.s__Aulacoseira_subarctica__202472
84	PWY-1042: glycolysis IV|g__Azadinium.s__Azadinium_spinosum__632150	ERR3980584	0.45742700000000003	PWY-1042	glycolysis IV	g__Azadinium.s__Azadinium_spinosum__632150
85	PWY-1042: glycolysis IV|g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532
86	PWY-1042: glycolysis IV|g__Chaetoceros.s__Chaetoceros_debilis__122233	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Chaetoceros.s__Chaetoceros_debilis__122233
87	PWY-1042: glycolysis IV|g__Corethron.s__Corethron_hystrix__216773	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Corethron.s__Corethron_hystrix__216773
88	PWY-1042: glycolysis IV|g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495
89	PWY-1042: glycolysis IV|g__Detonula.s__Detonula_confervacea__83371	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Detonula.s__Detonula_confervacea__83371
90	PWY-1042: glycolysis IV|g__Ditylum.s__Ditylum_brightwellii__49249	ERR3980584	0.082637	PWY-1042	glycolysis IV	g__Ditylum.s__Ditylum_brightwellii__49249
91	PWY-1042: glycolysis IV|g__Durinskia.s__Durinskia_baltica__400756	ERR3980584	0.195246	PWY-1042	glycolysis IV	g__Durinskia.s__Durinskia_baltica__400756
92	PWY-1042: glycolysis IV|g__Eucampia.s__Eucampia_antarctica__49252	ERR3980584	0.502273	PWY-1042	glycolysis IV	g__Eucampia.s__Eucampia_antarctica__49252
93	PWY-1042: glycolysis IV|g__Gambierdiscus.s__Gambierdiscus_australes__439317	ERR3980584	0.574392	PWY-1042	glycolysis IV	g__Gambierdiscus.s__Gambierdiscus_australes__439317
94	PWY-1042: glycolysis IV|g__Gonyaulax.s__Gonyaulax_spinifera__66791	ERR3980584	6.52215	PWY-1042	glycolysis IV	g__Gonyaulax.s__Gonyaulax_spinifera__66791
95	PWY-1042: glycolysis IV|g__Gymnodinium.s__Gymnodinium_catenatum__39447	ERR3980584	1.23535	PWY-1042	glycolysis IV	g__Gymnodinium.s__Gymnodinium_catenatum__39447
96	PWY-1042: glycolysis IV|g__Helicotheca.s__Helicotheca_tamesis__374047	ERR3980584	0.11087799999999999	PWY-1042	glycolysis IV	g__Helicotheca.s__Helicotheca_tamesis__374047
97	PWY-1042: glycolysis IV|g__Heterocapsa.s__Heterocapsa_arctica__192219	ERR3980584	0.663702	PWY-1042	glycolysis IV	g__Heterocapsa.s__Heterocapsa_arctica__192219
98	PWY-1042: glycolysis IV|g__Heterocapsa.s__Heterocapsa_rotundata__89963	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Heterocapsa.s__Heterocapsa_rotundata__89963
99	PWY-1042: glycolysis IV|g__Karlodinium.s__Karlodinium_veneficum__407301	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Karlodinium.s__Karlodinium_veneficum__407301
100	PWY-1042: glycolysis IV|g__Kryptoperidinium.s__Kryptoperidinium_foliaceum__160619	ERR3980584	4.3746	PWY-1042	glycolysis IV	g__Kryptoperidinium.s__Kryptoperidinium_foliaceum__160619
101	PWY-1042: glycolysis IV|g__Lingulodinium.s__Lingulodinium_polyedra__160621	ERR3980584	2.50212	PWY-1042	glycolysis IV	g__Lingulodinium.s__Lingulodinium_polyedra__160621
102	PWY-1042: glycolysis IV|g__Minutocellus.s__Minutocellus_polymorphus__265543	ERR3980584	5.43471	PWY-1042	glycolysis IV	g__Minutocellus.s__Minutocellus_polymorphus__265543
103	PWY-1042: glycolysis IV|g__Pelagodinium.s__unclassified__766107	ERR3980584	1.6739099999999998	PWY-1042	glycolysis IV	g__Pelagodinium.s__unclassified__766107
104	PWY-1042: glycolysis IV|g__Polarella.s__Polarella_glacialis__89957	ERR3980584	1.54344	PWY-1042	glycolysis IV	g__Polarella.s__Polarella_glacialis__89957
105	PWY-1042: glycolysis IV|g__Pseudictyota.s__Pseudictyota_dubia__2749911	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Pseudictyota.s__Pseudictyota_dubia__2749911
106	PWY-1042: glycolysis IV|g__Scrippsiella.s__Scrippsiella_trochoidea__71861	ERR3980584	1.20775	PWY-1042	glycolysis IV	g__Scrippsiella.s__Scrippsiella_trochoidea__71861
107	PWY-1042: glycolysis IV|g__Stephanopyxis.s__Stephanopyxis_turris__515487	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Stephanopyxis.s__Stephanopyxis_turris__515487
108	PWY-1042: glycolysis IV|g__Strombidinopsis.s__Strombidinopsis_sp.__181622	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Strombidinopsis.s__Strombidinopsis_sp.__181622
109	PWY-1042: glycolysis IV|g__Strombidium.s__Strombidium_inclinatum__197538	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Strombidium.s__Strombidium_inclinatum__197538
110	PWY-1042: glycolysis IV|g__Strombidium.s__Strombidium_rassoulzadegani__1082188	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Strombidium.s__Strombidium_rassoulzadegani__1082188
111	PWY-1042: glycolysis IV|g__Symbiodinium.s__Symbiodinium_sp.__2950	ERR3980584	0.338473	PWY-1042	glycolysis IV	g__Symbiodinium.s__Symbiodinium_sp.__2950
112	PWY-1042: glycolysis IV|g__Thalassionema.s__Thalassionema_frauenfeldii__186022	ERR3980584	0.8414299999999999	PWY-1042	glycolysis IV	g__Thalassionema.s__Thalassionema_frauenfeldii__186022
113	PWY-1042: glycolysis IV|g__Thalassiosira.s__Thalassiosira_antarctica__160265	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Thalassiosira.s__Thalassiosira_antarctica__160265
114	PWY-1042: glycolysis IV|g__Thalassiosira.s__Thalassiosira_sp.__1891026	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Thalassiosira.s__Thalassiosira_sp.__1891026
115	PWY-1042: glycolysis IV|g__Togula.s__Togula_jolla__285029	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Togula.s__Togula_jolla__285029
116	PWY-1042: glycolysis IV|g__Trieres.s__Trieres_chinensis__1514140	ERR3980584	0.0	PWY-1042	glycolysis IV	g__Trieres.s__Trieres_chinensis__1514140
117	PWY-1042: glycolysis IV|g__Tripos.s__Tripos_fusus__2916	ERR3980584	60.1012	PWY-1042	glycolysis IV	g__Tripos.s__Tripos_fusus__2916
