	Full_Pathway	Sample_ID	Abundance	Pathway_ID	Pathway_Name	TaxID
31	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771	SRR8039428	0.0	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771
32	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	g__Synechococcus.s__Synechococcus_sp_BL107
33	COA-PWY: coenzyme A biosynthesis I (prokaryotic)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	COA-PWY	coenzyme A biosynthesis I (prokaryotic)	g__Synechococcus.s__Synechococcus_sp_CC9902
34	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	g__Synechococcus.s__Synechococcus_sp_BL107
35	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	g__Synechococcus.s__Synechococcus_sp_CC9902
36	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Synechococcus.s__Synechococcus_sp._BS30m-G31__2781772	SRR8039428	12.1068	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	g__Synechococcus.s__Synechococcus_sp._BS30m-G31__2781772
37	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	g__Synechococcus.s__Synechococcus_sp_CC9902
38	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Pseudo-nitzschia.s__Pseudo-nitzschia_fraudulenta__183588	SRR8039428	0.0	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	g__Pseudo-nitzschia.s__Pseudo-nitzschia_fraudulenta__183588
39	GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	g__Synechococcus.s__Synechococcus_sp_CC9902
40	GLUTORN-PWY: L-ornithine biosynthesis I|g__Synechococcus.s__Synechococcus_sp._BS30m-G31__2781772	SRR8039428	0.0	GLUTORN-PWY	L-ornithine biosynthesis I	g__Synechococcus.s__Synechococcus_sp._BS30m-G31__2781772
41	GLUTORN-PWY: L-ornithine biosynthesis I|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	GLUTORN-PWY	L-ornithine biosynthesis I	g__Synechococcus.s__Synechococcus_sp_BL107
42	GLUTORN-PWY: L-ornithine biosynthesis I|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	GLUTORN-PWY	L-ornithine biosynthesis I	g__Synechococcus.s__Synechococcus_sp_CC9902
43	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801	SRR8039428	0.0	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801
44	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771	SRR8039428	0.0	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771
45	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	g__Synechococcus.s__Synechococcus_sp_BL107
46	GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	19.7306	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	g__Synechococcus.s__Synechococcus_sp_CC9902
47	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Bathycoccus.s__Bathycoccus_prasinos__41875	SRR8039428	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Bathycoccus.s__Bathycoccus_prasinos__41875
48	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Bathycoccus.s__unclassified__41874	SRR8039428	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Bathycoccus.s__unclassified__41874
49	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Synechococcus.s__Synechococcus_sp_BL107
50	HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	23.6455	HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	g__Synechococcus.s__Synechococcus_sp_CC9902
51	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Bathycoccus.s__Bathycoccus_prasinos__41875	SRR8039428	4.74998	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Bathycoccus.s__Bathycoccus_prasinos__41875
52	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Bathycoccus.s__unclassified__41874	SRR8039428	1.01187	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Bathycoccus.s__unclassified__41874
53	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Durinskia.s__Durinskia_baltica__400756	SRR8039428	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Durinskia.s__Durinskia_baltica__400756
54	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Eucampia.s__Eucampia_antarctica__49252	SRR8039428	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Eucampia.s__Eucampia_antarctica__49252
55	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Synechococcus.s__Synechococcus_sp_BL107
56	HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	23.6455	HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	g__Synechococcus.s__Synechococcus_sp_CC9902
57	HSERMETANA-PWY: L-methionine biosynthesis III|g__Alexandrium.s__Alexandrium_catenella__2925	SRR8039428	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Alexandrium.s__Alexandrium_catenella__2925
58	HSERMETANA-PWY: L-methionine biosynthesis III|g__Gambierdiscus.s__Gambierdiscus_australes__439317	SRR8039428	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Gambierdiscus.s__Gambierdiscus_australes__439317
59	HSERMETANA-PWY: L-methionine biosynthesis III|g__Heterocapsa.s__Heterocapsa_arctica__192219	SRR8039428	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Heterocapsa.s__Heterocapsa_arctica__192219
60	HSERMETANA-PWY: L-methionine biosynthesis III|g__Noctiluca.s__Noctiluca_scintillans__2966	SRR8039428	0.0	HSERMETANA-PWY	L-methionine biosynthesis III	g__Noctiluca.s__Noctiluca_scintillans__2966
61	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	g__Synechococcus.s__Synechococcus_sp_BL107
62	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	g__Synechococcus.s__Synechococcus_sp_CC9902
63	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Chrysochromulina.s__Chrysochromulina_rotalis__412157	SRR8039428	4.70003	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Chrysochromulina.s__Chrysochromulina_rotalis__412157
64	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Geminigera.s__Geminigera_cryophila__46947	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Geminigera.s__Geminigera_cryophila__46947
65	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haptolina.s__Haptolina_brevifila__156173	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Haptolina.s__Haptolina_brevifila__156173
66	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haptolina.s__Haptolina_ericina__156174	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Haptolina.s__Haptolina_ericina__156174
67	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Imantonia.s__Imantonia_sp.__1907789	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Imantonia.s__Imantonia_sp.__1907789
68	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Isochrysis.s__Isochrysis_sp.__40639	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Isochrysis.s__Isochrysis_sp.__40639
69	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Odontella.s__Odontella_aurita__265563	SRR8039428	0.110578	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Odontella.s__Odontella_aurita__265563
70	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Pseudictyota.s__Pseudictyota_dubia__2749911	SRR8039428	0.0804958	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Pseudictyota.s__Pseudictyota_dubia__2749911
71	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Synechococcus.s__Synechococcus_sp_BL107
72	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	25.2058	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	g__Synechococcus.s__Synechococcus_sp_CC9902
73	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	g__Synechococcus.s__Synechococcus_sp_CC9902
74	PANTO-PWY: phosphopantothenate biosynthesis I|g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771	SRR8039428	0.0	PANTO-PWY	phosphopantothenate biosynthesis I	g__Synechococcus.s__Synechococcus_sp._BS30m-G30__2781771
75	PANTO-PWY: phosphopantothenate biosynthesis I|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	PANTO-PWY	phosphopantothenate biosynthesis I	g__Synechococcus.s__Synechococcus_sp_BL107
76	PANTO-PWY: phosphopantothenate biosynthesis I|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	PANTO-PWY	phosphopantothenate biosynthesis I	g__Synechococcus.s__Synechococcus_sp_CC9902
77	PENTOSE-P-PWY: pentose phosphate pathway|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	PENTOSE-P-PWY	pentose phosphate pathway	g__Synechococcus.s__Synechococcus_sp_BL107
78	PENTOSE-P-PWY: pentose phosphate pathway|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	PENTOSE-P-PWY	pentose phosphate pathway	g__Synechococcus.s__Synechococcus_sp_CC9902
79	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	g__Synechococcus.s__Synechococcus_sp_BL107
80	PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	0.0	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	g__Synechococcus.s__Synechococcus_sp_CC9902
81	PHOTOALL-PWY: oxygenic photosynthesis|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	81.6132	PHOTOALL-PWY	oxygenic photosynthesis	g__Synechococcus.s__Synechococcus_sp_CC9902
82	PWY-101: photosynthesis light reactions|g__Corethron.s__Corethron_hystrix__216773	SRR8039428	2.26913	PWY-101	photosynthesis light reactions	g__Corethron.s__Corethron_hystrix__216773
83	PWY-101: photosynthesis light reactions|g__Cylindrotheca.s__Cylindrotheca_closterium__2856	SRR8039428	5.67335	PWY-101	photosynthesis light reactions	g__Cylindrotheca.s__Cylindrotheca_closterium__2856
84	PWY-101: photosynthesis light reactions|g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801	SRR8039428	0.0	PWY-101	photosynthesis light reactions	g__Prochlorococcus.s__Prochlorococcus_sp_MIT_0801
85	PWY-101: photosynthesis light reactions|g__Synechococcus.s__Synechococcus_sp_BL107	SRR8039428	0.0	PWY-101	photosynthesis light reactions	g__Synechococcus.s__Synechococcus_sp_BL107
86	PWY-101: photosynthesis light reactions|g__Synechococcus.s__Synechococcus_sp_CC9902	SRR8039428	201.925	PWY-101	photosynthesis light reactions	g__Synechococcus.s__Synechococcus_sp_CC9902
87	PWY-101: photosynthesis light reactions|g__Thalassiothrix.s__Thalassiothrix_antarctica__1049557	SRR8039428	3.07535	PWY-101	photosynthesis light reactions	g__Thalassiothrix.s__Thalassiothrix_antarctica__1049557
88	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_andersonii__327968	SRR8039428	11.6063	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_andersonii__327968
89	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_catenella__2925	SRR8039428	0.337269	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_catenella__2925
90	PWY-1042: glycolysis IV|g__Alexandrium.s__Alexandrium_margalefii__109239	SRR8039428	1.13603	PWY-1042	glycolysis IV	g__Alexandrium.s__Alexandrium_margalefii__109239
91	PWY-1042: glycolysis IV|g__Amphidinium.s__Amphidinium_carterae__2961	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Amphidinium.s__Amphidinium_carterae__2961
92	PWY-1042: glycolysis IV|g__Amphidinium.s__Amphidinium_massartii__160604	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Amphidinium.s__Amphidinium_massartii__160604
93	PWY-1042: glycolysis IV|g__Apocalathium.s__Apocalathium_aciculiferum__268820	SRR8039428	1.49816	PWY-1042	glycolysis IV	g__Apocalathium.s__Apocalathium_aciculiferum__268820
94	PWY-1042: glycolysis IV|g__Azadinium.s__Azadinium_spinosum__632150	SRR8039428	1.94971	PWY-1042	glycolysis IV	g__Azadinium.s__Azadinium_spinosum__632150
95	PWY-1042: glycolysis IV|g__Calcidiscus.s__Calcidiscus_leptoporus__127549	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Calcidiscus.s__Calcidiscus_leptoporus__127549
96	PWY-1042: glycolysis IV|g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Chaetoceros.s__Chaetoceros_cf._neogracilis__1048532
97	PWY-1042: glycolysis IV|g__Chaetoceros.s__Chaetoceros_debilis__122233	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Chaetoceros.s__Chaetoceros_debilis__122233
98	PWY-1042: glycolysis IV|g__Chaetoceros.s__Chaetoceros_dichaeta__420782	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Chaetoceros.s__Chaetoceros_dichaeta__420782
99	PWY-1042: glycolysis IV|g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Dactyliosolen.s__Dactyliosolen_fragilissimus__1118495
100	PWY-1042: glycolysis IV|g__Durinskia.s__Durinskia_baltica__400756	SRR8039428	2.85355	PWY-1042	glycolysis IV	g__Durinskia.s__Durinskia_baltica__400756
101	PWY-1042: glycolysis IV|g__Eucampia.s__Eucampia_antarctica__49252	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Eucampia.s__Eucampia_antarctica__49252
102	PWY-1042: glycolysis IV|g__Gambierdiscus.s__Gambierdiscus_australes__439317	SRR8039428	4.30847	PWY-1042	glycolysis IV	g__Gambierdiscus.s__Gambierdiscus_australes__439317
103	PWY-1042: glycolysis IV|g__Gonyaulax.s__Gonyaulax_spinifera__66791	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Gonyaulax.s__Gonyaulax_spinifera__66791
104	PWY-1042: glycolysis IV|g__Gymnodinium.s__Gymnodinium_catenatum__39447	SRR8039428	0.66209	PWY-1042	glycolysis IV	g__Gymnodinium.s__Gymnodinium_catenatum__39447
105	PWY-1042: glycolysis IV|g__Helicotheca.s__Helicotheca_tamesis__374047	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Helicotheca.s__Helicotheca_tamesis__374047
106	PWY-1042: glycolysis IV|g__Heterocapsa.s__Heterocapsa_arctica__192219	SRR8039428	0.0	PWY-1042	glycolysis IV	g__Heterocapsa.s__Heterocapsa_arctica__192219
107	PWY-1042: glycolysis IV|g__Heterocapsa.s__Heterocapsa_rotundata__89963	SRR8039428	10.9249	PWY-1042	glycolysis IV	g__Heterocapsa.s__Heterocapsa_rotundata__89963
108	PWY-1042: glycolysis IV|g__Karlodinium.s__Karlodinium_veneficum__407301	SRR8039428	7.32513	PWY-1042	glycolysis IV	g__Karlodinium.s__Karlodinium_veneficum__407301
109	PWY-1042: glycolysis IV|g__Kryptoperidinium.s__Kryptoperidinium_foliaceum__160619	SRR8039428	9.1215	PWY-1042	glycolysis IV	g__Kryptoperidinium.s__Kryptoperidinium_foliaceum__160619
110	PWY-1042: glycolysis IV|g__Lingulodinium.s__Lingulodinium_polyedra__160621	SRR8039428	3.89105	PWY-1042	glycolysis IV	g__Lingulodinium.s__Lingulodinium_polyedra__160621
111	PWY-1042: glycolysis IV|g__Pelagodinium.s__unclassified__766107	SRR8039428	0.675534	PWY-1042	glycolysis IV	g__Pelagodinium.s__unclassified__766107
